stop_id,stop_name,stop_lat,stop_lon
RS_ACC1_S-1-1951,원당,37.653320000,126.843040000
RS_ACC1_S-1-1952,화정,37.634590000,126.832650000
RS_ACC1_S-1-1953,대곡,37.631630000,126.811030000
RS_ACC1_S-1-1954,백석,37.643110000,126.787870000
RS_ACC1_S-1-1955,마두,37.652210000,126.777620000
RS_ACC1_S-1-1956,정발산,37.659480000,126.773360000
RS_ACC1_S-1-1957,주엽,37.670070000,126.761330000
RS_ACC1_S-1-1958,대화,37.676090000,126.747570000
RS_ACC1_S-1-2511,방화,37.577450000,126.812740000
RS_ACC1_S-1-2512,개화산,37.572400000,126.806170000
RS_ACC1_S-1-2513,김포공항,37.562090000,126.801270000
RS_ACC1_S-1-2514,송정,37.561180000,126.811970000
RS_ACC1_S-1-2515,마곡,37.560180000,126.825450000
RS_ACC1_S-1-2516,발산,37.558600000,126.837670000
RS_ACC1_S-1-2517,우장산,37.548770000,126.836320000
RS_ACC1_S-1-2518,화곡,37.541510000,126.840460000
RS_ACC1_S-1-2519,까치산,37.531770000,126.846680000
RS_ACC1_S-1-2520,신정,37.525000000,126.856190000
RS_ACC1_S-1-2521,목동,37.526070000,126.864930000
RS_ACC1_S-1-2522,오목교,37.524500000,126.875180000
RS_ACC1_S-1-2523,양평,37.525650000,126.885780000
RS_ACC1_S-1-2524,영등포구청,37.524190000,126.895050000
RS_ACC1_S-1-2525,영등포시장,37.522670000,126.905140000
RS_ACC1_S-1-2526,신길,37.517630000,126.914930000
RS_ACC1_S-1-2527,여의도,37.521730000,126.924300000
RS_ACC1_S-1-2528,여의나루,37.527100000,126.932900000
RS_ACC1_S-1-2529,마포,37.539570000,126.945930000
RS_ACC1_S-1-2530,공덕,37.544690000,126.951570000
RS_ACC1_S-1-2531,애오개,37.553740000,126.956820000
RS_ACC1_S-1-2532,충정로,37.560430000,126.963000000
RS_ACC1_S-1-2533,서대문,37.565770000,126.966640000
RS_ACC1_S-1-2534,광화문,37.571030000,126.976670000
RS_ACC1_S-1-2535,종로3가,37.572550000,126.990490000
RS_ACC1_S-1-2536,을지로4가,37.567230000,126.998070000
RS_ACC1_S-1-2537,동대문역사문화공원,37.564680000,127.005350000
RS_ACC1_S-1-2538,청구,37.560190000,127.013910000
RS_ACC1_S-1-2539,신금호,37.554550000,127.020330000
RS_ACC1_S-1-2540,행당,37.557320000,127.029480000
RS_ACC1_S-1-2541,왕십리,37.561980000,127.037340000
RS_ACC1_S-1-2542,마장,37.566100000,127.042970000
RS_ACC1_S-1-2543,답십리,37.566750000,127.052700000
RS_ACC1_S-1-2544,장한평,37.561440000,127.064620000
RS_ACC1_S-1-2545,군자,37.557120000,127.079530000
